num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
115998,2259.55616,1475.13689,207.011521,3.67677613e-09,-8.58884059e-10,1.6212229e-10,-3.22472691e-10,4.11660585e-11,2.69870773e-09
116022,4309.1469,1366.06528,210.371964,3.91979353e-09,-9.12251544e-10,8.51602505e-11,-1.6943334e-10,8.96365739e-12,2.93223255e-09
116324,1893.01785,2235.79512,202.027501,2.43250525e-09,-5.70709844e-10,1.89870611e-10,-3.775986e-10,5.89723624e-11,1.73303977e-09
116404,3935.81318,1399.73032,235.252502,3.42108327e-09,-7.99745764e-10,8.41291647e-11,-1.6754573e-10,1.18399607e-11,2.5497609e-09
116418,3183.51119,1882.17394,238.185336,2.47828529e-09,-5.84264777e-10,9.97820849e-11,-1.98747447e-10,1.93340195e-11,1.81438916e-09
116420,1111.24164,2062.4164,206.499053,2.58285726e-09,-6.05699022e-10,3.05674251e-10,-6.07885458e-10,1.80300103e-10,1.85524714e-09
116508,3955.22002,1305.1853,234.488505,3.67956197e-09,-8.5503083e-10,8.3996944e-11,-1.67280509e-10,1.16987015e-11,2.75294628e-09
116512,3721.02093,1680.49876,206.411728,3.21302227e-09,-7.51082449e-10,9.83358793e-11,-1.95619589e-10,1.25328981e-11,2.37718901e-09
116552,3795.87057,2191.82603,228.843608,2.21237588e-09,-5.24733779e-10,8.70577894e-11,-1.73345266e-10,1.24566169e-11,1.61381124e-09
116564,4920.2654,1493.41831,231.651968,3.25311557e-09,-7.62252848e-10,6.81701816e-11,-1.35749562e-10,6.78243662e-12,2.43006578e-09
116578,2297.53091,1956.39363,202.503082,2.77282666e-09,-6.45949222e-10,1.56789305e-10,-3.11853495e-10,3.81653253e-11,2.00997857e-09
116594,4306.07989,1291.96113,238.741925,3.65246803e-09,-8.47994717e-10,7.60216532e-11,-1.51420509e-10,9.60996819e-12,2.73868442e-09
116678,3647.06217,1595.4766,243.05903,2.88806868e-09,-6.78264353e-10,8.69258743e-11,-1.73163561e-10,1.43023703e-11,2.13786901e-09
116736,1265.71604,1898.1196,236.018487,2.48272659e-09,-5.87417182e-10,2.42022064e-10,-4.81883795e-10,1.4320992e-10,1.79865759e-09
116854,4598.07633,1119.56613,244.617826,4.11453277e-09,-9.44541511e-10,7.01128319e-11,-1.39677035e-10,8.33671231e-12,3.10876377e-09
