num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
104406,3502.12381,1311.75159,286.47766,2.85564477e-09,-6.34295929e-10,7.23040824e-11,-1.44228044e-10,1.61449786e-11,2.16556986e-09
104410,4850.55224,1343.363,284.836554,2.57899649e-09,-5.32469114e-10,4.55917495e-11,-9.09841424e-11,6.87849403e-12,2.00801347e-09
104416,4236.22811,1088.5323,266.941651,3.41684196e-09,-6.98164128e-10,5.67501678e-11,-1.1321192e-10,9.3708837e-12,2.67158697e-09
104418,2255.682,1025.81656,289.658813,3.35984768e-09,-6.84721199e-10,9.83671921e-11,-1.9627929e-10,3.95183344e-11,2.61673272e-09
104426,4600.3155,1018.27243,272.372258,3.47487385e-09,-6.86558261e-10,4.92865681e-11,-9.83450342e-11,7.60570563e-12,2.74686282e-09
104432,4765.17899,1379.27979,296.331635,2.59493205e-09,-5.70864522e-10,5.05672163e-11,-1.00895047e-10,7.83568626e-12,1.98157539e-09
104436,1627.47489,1744.92181,271.849642,2.19284836e-09,-4.85664639e-10,1.46609478e-10,-2.9238211e-10,7.80170539e-11,1.63942815e-09
104446,1618.77252,1041.86578,254.417771,3.65310311e-09,-7.30303709e-10,1.42248803e-10,-2.83699257e-10,7.20148117e-11,2.85336376e-09
104456,4904.51881,1667.57903,281.680123,2.27479466e-09,-5.12545194e-10,5.18338783e-11,-1.03392838e-10,7.14669767e-12,1.7178372e-09
104466,4824.4449,1222.20409,298.149247,2.83080633e-09,-6.00956498e-10,4.77686835e-11,-9.53256432e-11,7.46777397e-12,2.18976065e-09
104476,3883.90491,1419.37545,272.791044,2.51800822e-09,-5.18005177e-10,5.75591697e-11,-1.14850982e-10,1.1187416e-11,1.95389865e-09
104484,1664.7326,1437.16411,279.178581,2.5248353e-09,-5.37782492e-10,1.339475e-10,-2.67209919e-10,7.19272017e-11,1.9257176e-09
104488,2620.41642,1086.77505,283.911549,3.07318431e-09,-6.02401409e-10,7.91504696e-11,-1.57964871e-10,2.66978643e-11,2.41866636e-09
104492,1652.10606,1072.22851,299.182032,3.30735766e-09,-7.14307244e-10,1.4045375e-10,-2.80192845e-10,8.10050997e-11,2.53431642e-09
104506,4409.60935,1171.6771,279.52889,3.04906868e-09,-6.28600181e-10,5.25026158e-11,-1.04759186e-10,8.71047066e-12,2.3769224e-09
104508,1936.72314,1581.79713,270.611673,2.41143231e-09,-5.26390535e-10,1.24128993e-10,-2.475694e-10,5.45275255e-11,1.8161289e-09
104510,4368.60719,1181.73148,273.495859,3.20994568e-09,-6.85397255e-10,5.76064759e-11,-1.14908445e-10,9.15636059e-12,2.47640282e-09
104512,3664.54184,1692.814,279.370409,2.20056306e-09,-4.85220873e-10,6.63092438e-11,-1.32278931e-10,1.3765339e-11,1.66313784e-09
104518,4387.80076,1489.07113,293.761043,2.35972447e-09,-5.10107065e-10,5.24869389e-11,-1.04735897e-10,9.19125479e-12,1.8065597e-09
104520,1749.57128,1059.03311,281.506839,3.52992214e-09,-7.57127967e-10,1.39332399e-10,-2.77895829e-10,7.10018796e-11,2.70523263e-09
104532,4925.50173,1476.55294,257.27707,2.61429112e-09,-5.48317542e-10,4.95421093e-11,-9.88195878e-11,6.34532975e-12,2.02304143e-09
104534,3555.44788,1221.46772,281.260076,3.13683469e-09,-6.94525545e-10,7.32279581e-11,-1.46054445e-10,1.56090756e-11,2.38509174e-09
104536,4047.95426,1759.39182,272.2292,2.20973351e-09,-4.9585364e-10,6.34721896e-11,-1.26590856e-10,1.09962158e-11,1.66175742e-09
104538,2254.60203,1269.58185,256.400996,3.04691038e-09,-6.31989735e-10,1.06700031e-10,-2.12805695e-10,3.7572609e-11,2.34638759e-09
104540,1457.57579,1091.22372,279.722566,3.48710548e-09,-7.58807704e-10,1.68165792e-10,-3.35349795e-10,1.02963861e-10,2.66407763e-09
104552,1254.56392,1035.70663,281.931729,3.30162173e-09,-6.54592854e-10,1.59326912e-10,-3.17882676e-10,1.13621596e-10,2.60209471e-09
104554,2904.02138,1353.38018,298.765554,2.69285379e-09,-6.06946873e-10,8.53750417e-11,-1.70317817e-10,2.54464589e-11,2.0264106e-09
104570,4580.62587,1706.56277,273.699853,2.17628341e-09,-4.70494816e-10,5.2095791e-11,-1.03930154e-10,7.894273e-12,1.6618485e-09
104574,3963.0176,1192.29846,287.417961,3.13416174e-09,-6.90013686e-10,6.4335561e-11,-1.28335341e-10,1.22047093e-11,2.39235298e-09
104578,1443.65936,1640.46977,268.570381,2.39060234e-09,-5.32973251e-10,1.69347419e-10,-3.37666764e-10,1.00583004e-10,1.78989275e-09
104582,1759.45956,1519.83062,293.583165,2.32664641e-09,-5.0753416e-10,1.26357408e-10,-2.52098019e-10,6.71941437e-11,1.76056579e-09
104588,2935.63031,1266.18309,298.689418,2.61859426e-09,-5.3869466e-10,7.18575012e-11,-1.43417879e-10,2.20933166e-11,2.03043254e-09
104600,1103.41573,1588.53527,267.408647,2.32460982e-09,-4.8917167e-10,1.88896512e-10,-3.767458e-10,1.43830679e-10,1.79141954e-09
104602,4346.37137,1802.02389,282.571015,2.13688125e-09,-4.91787791e-10,6.00156342e-11,-1.19700185e-10,9.72026095e-12,1.59512917e-09
104618,4221.26583,1382.46216,289.93068,2.61507457e-09,-5.70028831e-10,5.69280017e-11,-1.13581377e-10,1.02092617e-11,1.99860163e-09
104626,1033.91995,1726.25223,290.436333,2.02690691e-09,-4.38910765e-10,1.91164575e-10,-3.81344303e-10,1.65389133e-10,1.56320555e-09
104638,2750.42301,1603.16206,295.017652,2.30834595e-09,-5.29059058e-10,9.08153051e-11,-1.81155939e-10,2.8501768e-11,1.71744803e-09
104652,4157.07154,1209.41662,294.057625,3.05980246e-09,-6.82110098e-10,6.14709025e-11,-1.22625745e-10,1.11662e-11,2.32770372e-09
